"Activities Count","Chemical","Plant Part","Low PPM","High PPM","StdDev","Refernce Citation"
"0","IPURANOL","Leaf",,,,"ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
"6","IRON","Seed","10.0","26.0","-0.5798269910065945","--"
"6","IRON","Leaf","2.0","8.0","-0.9003002405301712","--"
"0","ISOGINKGETIN","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"3","ISOLEUCINE","Seed","2090.0","5700.0","-0.6114097088220455","USDA's Ag Handbook 8 and sequelae)"
"22","ISOQUERCITRIN","Leaf",,,,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
"11","ISORHAMNETIN","Leaf",,,,"--"
"0","ISORHAMNETIN-3-O-GLUCOSIDE","Leaf",,,,"--"
"0","ISORHAMNETIN-3-O-RUTINOSIDE","Leaf",,,,"--"
"75","KAEMPFEROL","Leaf",,,,"--"
"0","KAEMPFEROL-2-6-DIRHAMNOSYL-GLUCOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-0-RUTINOSIDE","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","KAEMPFEROL-3-O-(2'-6-DIRHAMNOPYRANOSYL-BETA-D-GLUCOPYRANOSIDE","Leaf",,"22.0",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-(2'-O-BETA-D-GLUCOPYRANOSYL)-ALPHA-L-RHAMNOPYRANOSIDE","Leaf",,"5.3",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-(3'-P-COUMAROYL-GLUCOSYL-BETA(1-4)-RHAMNOSIDE)","Leaf",,"25000.0",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-(6'''-P-COUMAROYL-GLUCOPYRANOSYL-BETA-1-4-RHAMNOPYRANOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-(6'''-P-COUMAROYL-GLUCOSYL(1-2)RHAMNOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-(6'-O-P-COUMAROYL-BETA-D-GLUCOPYRANOSYL(1-2)ALPHA-L-RHAMNOPYRANOSIDE","Leaf",,"200.0",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-(ALPHA-RHAMNOSYL(1-2)ALPHA-RHAMNOSYL(1-6))BETA-D-GLUCOSIDE","Leaf",,"700.0",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-2'-6'-DI-O-RHAMNOPYRANOSYL-GLUCOPYRANOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-ALPHA(6'''-P-COUMAROYL-GLUCOSYL-BETA-1,4-RHAMNOSIDE)","Plant",,,,"--"
"0","KAEMPFEROL-3-O-ALPHA-(6'''-P-COUMAROYL-GLUCOSYL-BETA-1-2-RHAMNOSIDE)","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-ALPHA-L-RHAMNO-GLUCOAROYL-GLUCOSYL-BETA-1-4-RHAMNOSIDE)","Leaf",,"580.0",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-ALPHA-L-[BETA-D-GLUCOPYRANOSYL(1-2)RHAMNOPYRANOSIDE]","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-BETA-D-RUTINOSIDE","Leaf",,"1000.0",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-COUMAROYL-GLUCORHAMNOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-P-COUMAROYL-GLUCO-RHAMNOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-RHAMNOSIDE","Leaf",,,,"--"
"0","KAEMPFEROL-3-O-RHAMNOSYL(1-2)RHAMNOSYL(1-6)GLUCOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-RUTINOSIDE","Leaf","40.0","130.0",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-[2'-O-6'''-O{P-(7''''-O-BETA-D-GLUCOPYRANOSYL)-COUMAROYL}-BETA-D-GLUCOPYRANOSYL]-ALPHA-L-RHAMNOPYRANOSIDE","Leaf",,"3.1",,"Jim Duke's personal files."
"0","KAEMPFEROL-3-O-[6'''-O-P-COUMAROYL-BETA-D-GLUCOSYL-(1-2)-ALPHA-L-RHAMNOSIDE]","Leaf",,,,"Jim Duke's personal files."
"4","KAEMPFEROL-3-RHAMNOGLUCOSIDE","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","KAEMPFEROL-7-O-GLUCOSIDE","Leaf",,,,"--"
"0","KAEMPFEROL-COUMAROYL-GLUCORHAMNOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","KILOCALORIES","Seed","1820.0","3975.0","-0.6916855702845792","USDA's Ag Handbook 8 and sequelae)"
"0","KYURENIC-ACID","Leaf",,,,"--"
"0","L-EPICATECHIN","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","L-EPIGALLOCATECHIN","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"8","LACTIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"0","LARICITRIN-3-O-RUTINOSIDE","Leaf",,,,"Jim Duke's personal files."
"7","LAURIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"2","LEUCINE","Seed","3160.0","8620.0","-0.8099200212559403","USDA's Ag Handbook 8 and sequelae)"
"27","LINOLEIC-ACID","Seed","5780.0","12889.0","-0.8073993840380734","USDA's Ag Handbook 8 and sequelae)"
"27","LINOLEIC-ACID","Leaf",,,,"Jim Duke's personal files."
"0","LINOLENIC-ACID","Fruit",,,,"Jim Duke's personal files."
"0","LINOLENIC-ACID","Seed",,,,"Jim Duke's personal files."
"0","LINOLENIC-ACID","Leaf",,"452000.0","2.995693474983614","Jim Duke's personal files."
"15","LUTEIN","Tissue Culture",,,,"Jim Duke's personal files."
"15","LUTEIN","Leaf",,,,"Jim Duke's personal files."
"0","LUTEIN-ESTER","Leaf",,,,"Jim Duke's personal files."
"78","LUTEOLIN","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","LUTEOLIN-3-O-GLUCOSIDE","Leaf",,,,"--"
"4","LYSINE","Seed","2060.0","5640.0","-0.8748533155304336","USDA's Ag Handbook 8 and sequelae)"
"65","MAGNESIUM","Leaf","240.0","1000.0","-1.2069561543337646","--"
"65","MAGNESIUM","Seed","270.0","605.0","-0.9249547994302867","USDA's Ag Handbook 8 and sequelae)"
"15","MALIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"14","MANGANESE","Leaf","0.7","3.0","-0.4548985090553243","--"
"14","MANGANESE","Seed","1.0","3.0","-0.6293316926390775","USDA's Ag Handbook 8 and sequelae)"
"0","MANNAN","Leaf",,"34000.0",,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"3","MANNOSE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"15","METHIONINE","Seed","550.0","1520.0","-0.7216701395403058","USDA's Ag Handbook 8 and sequelae)"
"13","MUFA","Seed","6190.0","13815.0","-0.6916668126130565","USDA's Ag Handbook 8 and sequelae)"
"34","MYRICETIN","Leaf",,,,"--"
"0","MYRICETIN-3-O-RUTINOSIDE","Leaf",,,,"--"
"6","MYRISTIC-ACID","Seed","60.0","133.0","-0.29426213257444195","USDA's Ag Handbook 8 and sequelae)"
"6","MYRISTIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"0","N-ALPHA-HYDROXY-PALMITOYL-GLUCOSYL-OCTADECASPHINGADIENE","Seed",,,,"Jim Duke's personal files."
"0","N-HEPTACOSANE","Leaf",,"381000.0",,"Jim Duke's personal files."
"0","N-PENTACOSANE","Leaf",,"174000.0",,"Jim Duke's personal files."
"0","N-TRICOSANE","Leaf",,"125000.0",,"Jim Duke's personal files."
"2","NEOXANTHIN","Leaf",,,,"Jim Duke's personal files."
"39","NIACIN","Leaf","84.0","350.0","3.071296935479944","--"
"39","NIACIN","Seed","12.0","134.0","2.727415188315172","--"
"2","NONACOSANE","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","OCTACOSAN-1-OL","Leaf",,,,"Jim Duke's personal files."
"0","OCTACOSANOL-1","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"18","OLEIC-ACID","Seed","5120.0","11418.0","-0.8852375473786731","USDA's Ag Handbook 8 and sequelae)"
"18","OLEIC-ACID","Leaf",,,,"Jim Duke's personal files."
"25","OPCS","Leaf",,,,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
"25","P-COUMARIC-ACID","Pollen Or Spore",,,,"Chemical Constituents of Oriental Herbs (3 diff. books)"
"16","P-CYMENE","Essential Oil",,,,"Jim Duke's personal files."
"16","P-CYMENE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"13","P-HYDROXY-BENZOIC-ACID","Leaf",,,,"Jim Duke's personal files."
"13","P-HYDROXY-BENZOIC-ACID","Plant",,,,"Tyler, V.E.. 1982. The Honest Herbal. George F. Stickley Co., Philadelphia PA. 263 pp."
"0","P-TOLYL-PROPYLENE","Essential Oil",,,,"Jim Duke's personal files."
"0","P-TOLYL-PROPYLENE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"13","PALMITIC-ACID","Leaf",,"251000.0","4.4947785234866116","Jim Duke's personal files."
"13","PALMITIC-ACID","Seed","2880.0","6422.0","-0.5670943519713945","--"
"13","PALMITIC-ACID","Fruit",,,,"Jim Duke's personal files."
"13","PALMITIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"2","PALMITOLEIC-ACID","Seed","790.0","1761.0","-0.256195566417164","USDA's Ag Handbook 8 and sequelae)"
"11","PANTOTHENIC-ACID","Seed","1.0","4.0","-1.3347125379851006","USDA's Ag Handbook 8 and sequelae)"
"0","PENTOSANS","Seed",,"16000.0","-1.3063116491987934","List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","PENTOSANS","Leaf",,"55000.0","-1.0","List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"7","PHENYLALANINE","Seed","1710.0","4660.0","-0.8216455270835238","USDA's Ag Handbook 8 and sequelae)"
"4","PHOSPHORUS","Seed","1240.0","3268.0","-0.5510734530365442","--"
"4","PHOSPHORUS","Leaf","1440.0","6000.0","0.1892389688834186","--"
"5","PINITOL","Leaf",,,,"--"
"0","POPULNIN","Pollen Or Spore",,"119.0",,"Jim Duke's personal files."
"0","POPULNIN","Leaf",,"1.5",,"Jim Duke's personal files."
"0","POPULNIN","Plant",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"14","POTASSIUM","Leaf","2880.0","12000.0","-0.8100334258677413","--"
"14","POTASSIUM","Seed","5100.0","11394.0","-0.10342639043560727","--"
"34","PROANTHOCYANIDINS","Leaf",,,,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
"11","PROCYANIDIN","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"1","PRODELPHINIDIN","Leaf",,,,"--"
"0","PROLINE","Seed","3470.0","9475.0","-0.3655832299835854","USDA's Ag Handbook 8 and sequelae)"
"6","PROPIONIC-ACID","Fruit",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","PROTEIN","Seed","43200.0","131000.0","-0.9144242564530036","--"
"0","PROTEIN","Leaf","21600.0","90000.0","-1.2155220974066152","--"
"0","PROTEIN-H","Seed",,,,"Jim Duke's personal files."
"43","PROTOCATECHUIC-ACID","Leaf",,,,"Jim Duke's personal files."
"43","PROTOCATECHUIC-ACID","Plant",,,,"Tyler, V.E.. 1982. The Honest Herbal. George F. Stickley Co., Philadelphia PA. 263 pp."
"4","PUFA","Seed","6180.0","13795.0","-0.7009231111054428","USDA's Ag Handbook 8 and sequelae)"
"1","PYRUVIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"176","QUERCETIN","Tissue Culture",,,,"Jim Duke's personal files."
"176","QUERCETIN","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","QUERCETIN-3-0-RUTINOSIDE","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","QUERCETIN-3-O-(2'-O-BETA-D-GLUCOPYRANOSYL)-ALPHA-L-RHAMNOPYRANOSIDE","Leaf",,"2.8",,"Jim Duke's personal files."
"0","QUERCETIN-3-O-(6'''-O-P-COUMAROYL-BETA-D-GLUCOPYRANOSYL(1-2)ALPHA-L-RHAMNOPYRANOSIDE)","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-(6'''-P-COUMAROYL-GLUCOPYRANOSYL-BETA-1-4-RHAMNOPYRANOSIDE)","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-(6'''-P-COUMAROYL-GLUCOSYL(1-2)RHAMNOSIDE)","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-(6'''-P-COUMAROYL-GLUCOSYL-BETA(1-4)RHAMNOSIDE)","Leaf",,"21000.0",,"Jim Duke's personal files."
"0","QUERCETIN-3-O-(ALPHA-RHAMNOSYL-(1-2)-ALPHA-RHAMNOSYL-(1-6))-BETA-GLUCOSIDE","Leaf",,"8000.0",,"Jim Duke's personal files."
"0","QUERCETIN-3-O-(ALPHA-RHAMNOSYL-(1-2)-ALPHA-RHAMNOSYL-(1-6)-BETA-D-GLUCOSIDE)","Leaf",,"700.0",,"Jim Duke's personal files."
"0","QUERCETIN-3-O-2'-6'-DI-O-RHAMNOPYRANOSYL-GLUCOPYRANOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-ALPHA(6'''-P-COUMAROYL-GLUCOSYL-BETA-1,4-RHAMNOSIDE)","Plant",,,,"--"
"0","QUERCETIN-3-O-ALPHA(6'''-P-COUMAROYL-GLUCOSYL-BETA-1,4-RHAMNOSIDE)","Leaf",,"20.0",,"Jim Duke's personal files."
"0","QUERCETIN-3-O-ALPHA-(6'''-P-COUMAROYL-GLUCOSYL-BETA-1-2-RHAMNOSIDE)","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-ALPHA-L-RHAMNO-GLUCOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-COUMAROYL-GLUCORHAMNOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-P-COUMAROYL-GLUCO-RHAMNOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-RHAMNOSYL(1-2)RHAMNOSYL(1-6)GLUCOSIDE","Leaf",,,,"Jim Duke's personal files."
"0","QUERCETIN-3-O-[2'-O-6'''-O-P-COUMAROYL)-BETA-D-GLUCOPYRANOSYL]-ALPHA-L-RHAMNOPYRANOSYL-7-O-BETA-D-GLUCOSIDE","Leaf",,"40.0",,"Jim Duke's personal files."
"0","QUERCETIN-3-O-[2'-O-6'''-O-{P-(7'PYRANOSIDE'-O-BETA-D-GLUCOPYRANOSYL}-COUMAROYL)-BETA-D-GLUCOPYRANOSYL]-ALPHA-L-RHAMNOPY","Leaf",,"4.4",,"Jim Duke's personal files."
"0","QUERCETIN-3-O-[6'''-O-P-COUMAROYL-BETA-D-GLUCOSYL-(1-2)-ALPHA-L-RHAMNOSIDE]","Leaf",,,,"Jim Duke's personal files."
"4","QUERCETIN-3-RHAMNOGLUCOSIDE","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"44","QUERCITRIN","Leaf",,"0.5","-0.6243960698019103","Jim Duke's personal files."
"1","QUINIC-ACID","Leaf",,,,"--"
"1","RAFFINOSE","Wood","10000.0","20000.0",,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"1","RAFFINOSE","Flower",,"40000.0",,"ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
"15","RIBOFLAVIN","Seed","1.0","3.0","-0.20090831129253928","--"
"15","RIBOFLAVIN","Leaf","0.3","1.2","-0.17223654048552425","--"
"87","RUTIN","Leaf","6.0","30000.0","0.8579223754965293","Jim Duke's personal files."
"87","RUTIN","Plant",,,,"Tyler, V.E.. 1982. The Honest Herbal. George F. Stickley Co., Philadelphia PA. 263 pp."
"3","SCIADOPITYSIN","Leaf",,,,"--"
"60","SELENIUM","Leaf","0.5","2.0","-0.22887772529853118","--"
"0","SEQUOJAFLAVONE","Leaf",,,,"--"
"0","SEQUOYITOL","Pollen Or Spore",,"31.0",,"Jim Duke's personal files."
"0","SEQUOYITOL","Leaf",,,,"--"
"1","SERINE","Seed","2900.0","7935.0","-0.5058246480060101","USDA's Ag Handbook 8 and sequelae)"
"0","SFA","Seed","3190.0","7120.0","-0.5084786953438746","USDA's Ag Handbook 8 and sequelae)"
"14","SHIKIMIC-ACID","Leaf",,,,"--"
"4","SILICON","Leaf","0.5","2.0","-0.40724322979061855","--"
"0","SITOSTEROL","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"1","SODIUM","Seed","70.0","160.0","-0.4617295086785716","--"
"1","SODIUM","Leaf","72.0","300.0","-0.5940028377357823","--"
"0","SPINASTEROL","Plant",,,,"J.S. Glasby Dict.Pls Containing 2ndary Metabolite. 1991."
"5","STARCH","Seed","407400.0","680000.0","1.497636661907824","--"
"8","STEARIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"8","STEARIC-ACID","Seed","160.0","357.0","-0.5576443525355296","USDA's Ag Handbook 8 and sequelae)"
"12","STIGMASTEROL","Pollen Or Spore",,,,"--"
"12","STIGMASTEROL","Leaf",,,,"Jim Duke's personal files."
"7","SUCCINIC-ACID","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"7","SUCCINIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"14","SUCROSE","Wood","10000.0","20000.0",,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"14","SUCROSE","Seed",,"3600.0","-0.6466733517479153","ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
"0","SYRINGETIN-3-O-RUTINOSIDE","Leaf",,"1.4",,"--"
"35","TANNIN","Leaf",,,,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
"0","TERPENE-TRILACTONES","Leaf",,"2660.0",,"--"
"31","THIAMIN","Seed","2.0","5.0","-0.37795068225120004","USDA's Ag Handbook 8 and sequelae)"
"0","THIAMINE","Leaf","0.5","2.0","-0.7799775759670321","--"
"4","THREONINE","Seed","2680.0","7300.0","-0.18733331249617388","USDA's Ag Handbook 8 and sequelae)"
"71","THYMOL","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","TRANS-LINALOL-OXIDE","Wood",,,,"--"
"0","TRANS-LINALOOL-OXIDE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","TRANS-LINALOOL-OXIDE","Essential Oil",,,,"Jim Duke's personal files."
"0","TRANS-NEOXANTHIN","Tissue Culture",,,,"Jim Duke's personal files."
"0","TRANS-VIOLAXANTHIN","Tissue Culture",,,,"Jim Duke's personal files."
"0","TRICETIN","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"29","TRYPTOPHAN","Seed","710.0","1940.0","-0.4723632597485982","USDA's Ag Handbook 8 and sequelae)"
"8","TYROSINE","Seed","610.0","1665.0","-1.407563246247056","USDA's Ag Handbook 8 and sequelae)"
"0","UROSHIOLS","Leaf",,,,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
"1","VALERIANIC-ACID","Fruit",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"3","VALINE","Seed","2830.0","7730.0","-0.5273131819394478","USDA's Ag Handbook 8 and sequelae)"
"24","VANILLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"24","VANILLIC-ACID","Plant",,,,"Tyler, V.E.. 1982. The Honest Herbal. George F. Stickley Co., Philadelphia PA. 263 pp."
"2","VIOLAXANTHIN","Leaf",,,,"Jim Duke's personal files."
"0","WATER","Leaf",,"760000.0","-0.2376635252867174","--"
"0","WATER","Seed","124000.0","552000.0","1.2448308751035961","USDA's Ag Handbook 8 and sequelae)"
"0","WAX","Leaf","7000.0","10000.0","0.5100293229805821","--"
"3","XYLOSE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","Z,Z,4,4'-(1,4-PENTADIEN-1,5-DIYL)DIPHENOL","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"5","ZEAXANTHIN","Tissue Culture",,,,"Jim Duke's personal files."
"77","ZINC","Leaf","0.6","2.3","-0.5126529515217503","--"
"77","ZINC","Seed","3.0","8.0","-1.054186300875964","USDA's Ag Handbook 8 and sequelae)"
